"r_shop_id";"r_shop_name";"r_shop_address";"r_shop_by";"r_shop_like";"shop_approved";"lat";"lng"
2;"John Rider 2";"31 ถนน เลียบคลองสอง แขวงบางชัน เขตคลองสามวา กรุงเทพมหานคร 10510";3;1;1;0.0;0.0
3;"โชคชัยเจริญยนต์";"45 1 ถนนสุขาภิบาล 5 แขวงออเงิน เขตสายไหม กรุงเทพมหานคร 10220";3;0;1;13.9041;100.675
4;"Showpow Performance สาขา สายไหม - ยางบิ๊กไบค์ และซ่อมบำรุง";"35/7 ถ. สายไหม เขตสายไหม กรุงเทพมหานคร 10220";3;0;0;13.9219;100.649
